id,_embedded.show.id,_embedded.show.url,_embedded.show.name,_embedded.show.type,_embedded.show.language,_embedded.show.status,_embedded.show.runtime,_embedded.show.averageRuntime,_embedded.show.officialSite,domain
2617161,70441,https://www.tvmaze.com/shows/70441/my-charming-villian-emperor,My Charming Villian Emperor,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200woymt0h.html,v.qq.com
2617162,70441,https://www.tvmaze.com/shows/70441/my-charming-villian-emperor,My Charming Villian Emperor,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200woymt0h.html,v.qq.com
2617163,70441,https://www.tvmaze.com/shows/70441/my-charming-villian-emperor,My Charming Villian Emperor,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200woymt0h.html,v.qq.com
2617164,70441,https://www.tvmaze.com/shows/70441/my-charming-villian-emperor,My Charming Villian Emperor,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200woymt0h.html,v.qq.com
2617165,70441,https://www.tvmaze.com/shows/70441/my-charming-villian-emperor,My Charming Villian Emperor,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200woymt0h.html,v.qq.com
2617166,70441,https://www.tvmaze.com/shows/70441/my-charming-villian-emperor,My Charming Villian Emperor,Scripted,Chinese,Running,10.0,10.0,https://v.qq.com/x/cover/mzc00200woymt0h.html,v.qq.com
2609630,793,https://www.tvmaze.com/shows/793/eastenders,EastEnders,Scripted,English,Running,,30.0,http://www.bbc.co.uk/programmes/b006m86d,www.bbc.co.uk
2577533,24963,https://www.tvmaze.com/shows/24963/new-japan-pro-wrestling,New Japan Pro Wrestling,Sports,Japanese,Running,120.0,101.0,http://www.njpw1972.com/,www.njpw1972.com
2612916,69794,https://www.tvmaze.com/shows/69794/im-nobody,I'm Nobody,Scripted,Chinese,Running,45.0,45.0,https://v.youku.tv/v_show/id_XNTk2Mjc5NDM2OA==.html?spm=a2hja.14919748_WEBHOME_JINGXUAN.drawer7.d_zj1_11&s=bbbc659d62db45b08873&scm=20140719.manual.37534.show_bbbc659d62db45b08873,v.youku.tv
2607751,69797,https://www.tvmaze.com/shows/69797/narcotics-heroes,Narcotics Heroes,Scripted,Chinese,Running,60.0,60.0,https://v.youku.com/v_show/id_XNTk1NDg4MzI2MA==.html?spm=a2hja.14919748_WEBTV_JINGXUAN.drawer5.d_zj1_8&s=caeef053aa4a4de6811e&scm=20140719.manual.23911.show_caeef053aa4a4de6811e,v.youku.com
2500681,67353,https://www.tvmaze.com/shows/67353/my-gold-my-jade,"My Gold, My Jade",Scripted,Korean,Running,30.0,30.0,https://program.kbs.co.kr/1tv/drama/appleofmyeye/pc/index.html,program.kbs.co.kr
2604977,70128,https://www.tvmaze.com/shows/70128/the-infiltrator,The Infiltrator,Scripted,Chinese,Running,45.0,45.0,https://v.qq.com/x/cover/mzc00200wy20w1u.html,v.qq.com
2604978,70128,https://www.tvmaze.com/shows/70128/the-infiltrator,The Infiltrator,Scripted,Chinese,Running,45.0,45.0,https://v.qq.com/x/cover/mzc00200wy20w1u.html,v.qq.com
2616519,70420,https://www.tvmaze.com/shows/70420/days-with-ambition-and-pride,Days with Ambition and Pride,Scripted,Chinese,Running,45.0,45.0,,
2616520,70420,https://www.tvmaze.com/shows/70420/days-with-ambition-and-pride,Days with Ambition and Pride,Scripted,Chinese,Running,45.0,45.0,,
2616750,70439,https://www.tvmaze.com/shows/70439/you-pan-tou,You Pan Tou,Scripted,Chinese,Running,45.0,45.0,,
2616752,70439,https://www.tvmaze.com/shows/70439/you-pan-tou,You Pan Tou,Scripted,Chinese,Running,45.0,45.0,,
2617695,13392,https://www.tvmaze.com/shows/13392/honest-trailers,Honest Trailers,Scripted,English,Running,,6.0,https://www.youtube.com/playlist?list=PL86F4D497FD3CACCE,www.youtube.com
2617333,39114,https://www.tvmaze.com/shows/39114/pod-save-america,Pod Save America,Talk Show,English,Running,,65.0,https://www.youtube.com/@podsaveamerica,www.youtube.com
2605368,42383,https://www.tvmaze.com/shows/42383/world-wonder-ring-stardom,World Wonder Ring STARDOM,Sports,English,Running,120.0,120.0,,
2617380,47944,https://www.tvmaze.com/shows/47944/inside-of-you-with-michael-rosenbaum,Inside of You with Michael Rosenbaum,Talk Show,English,Running,,85.0,https://www.insideofyoupodcast.com/,www.insideofyoupodcast.com
2617406,52933,https://www.tvmaze.com/shows/52933/lab-s-antonom-belaevym,LAB с Антоном Беляевым,Documentary,Russian,Running,26.0,25.0,https://premier.one/show/lab-laboratoriya-muzyki-antona-belyaeva,premier.one
2570979,56741,https://www.tvmaze.com/shows/56741/untold,Untold,Documentary,English,Running,,73.0,https://www.netflix.com/untoldcollection,www.netflix.com
2564652,60693,https://www.tvmaze.com/shows/60693/dva-holma,Два Холма,Scripted,Russian,Running,,24.0,https://start.ru/watch/dva-holma,start.ru
2617340,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617341,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617342,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617343,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617344,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617345,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617346,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617347,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617348,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617349,61904,https://www.tvmaze.com/shows/61904/never-seen-again,Never Seen Again,Documentary,English,Running,,25.0,https://www.paramountplus.com/shows/never-seen-again/,www.paramountplus.com
2617228,67773,https://www.tvmaze.com/shows/67773/lian-qi-shi-wan-nian,Lian Qi Shi Wan Nian,Animation,Chinese,Running,10.0,10.0,,
2599980,68667,https://www.tvmaze.com/shows/68667/the-princess-and-the-werewolf,The Princess and the Werewolf,Scripted,Chinese,Running,,45.0,https://v.youku.tv/v_show/id_XNTk1OTQ0NTk0OA==.html?spm=a2hja.14919748_WEBHOME_JINGXUAN.drawer7.d_zj1_4&s=aafdb2ce8af6468fb489&scm=20140719.manual.37534.show_aafdb2ce8af6468fb489,v.youku.tv
2599981,68667,https://www.tvmaze.com/shows/68667/the-princess-and-the-werewolf,The Princess and the Werewolf,Scripted,Chinese,Running,,45.0,https://v.youku.tv/v_show/id_XNTk1OTQ0NTk0OA==.html?spm=a2hja.14919748_WEBHOME_JINGXUAN.drawer7.d_zj1_4&s=aafdb2ce8af6468fb489&scm=20140719.manual.37534.show_aafdb2ce8af6468fb489,v.youku.tv
