id,airdate,airtime,airstamp,runtime,_embedded.show.network.country.code
2617117,2023-08-08,,2023-08-08T12:00:00+00:00,52.0,NC
2617118,2023-08-08,,2023-08-08T12:00:00+00:00,61.0,NC
2617119,2023-08-08,,2023-08-08T12:00:00+00:00,66.0,NC
2617120,2023-08-08,,2023-08-08T12:00:00+00:00,53.0,NC
2617121,2023-08-08,,2023-08-08T12:00:00+00:00,54.0,NC
2617122,2023-08-08,,2023-08-08T12:00:00+00:00,61.0,NC
2587407,2023-08-08,,2023-08-08T12:00:00+00:00,22.0,NC
2600413,2023-08-08,,2023-08-08T12:00:00+00:00,0.0,NC
2560656,2023-08-08,21:50,2023-08-08T12:50:00+00:00,50.0,KR
2549226,2023-08-08,22:30,2023-08-08T13:30:00+00:00,50.0,KR
2616667,2023-08-08,,2023-08-08T16:00:00+00:00,60.0,NC
2617400,2023-08-08,,2023-08-08T16:00:00+00:00,45.0,NC
2538691,2023-08-08,,2023-08-08T16:00:00+00:00,37.0,NC
2555463,2023-08-08,,2023-08-08T16:00:00+00:00,34.0,NC
2544464,2023-08-08,20:00,2023-08-09T00:00:00+00:00,120.0,US
2560157,2023-08-08,02:00,2023-08-09T00:00:00+00:00,30.0,NC
2617225,2023-08-08,22:30,2023-08-09T00:30:00+00:00,90.0,BR
2599200,2023-08-08,03:00,2023-08-09T01:00:00+00:00,25.0,NC
2612115,2023-08-08,22:00,2023-08-09T02:00:00+00:00,60.0,NC
