id,_links.self.href,_links.show.href
2617120,https://api.tvmaze.com/episodes/2617120,https://api.tvmaze.com/shows/69210
2617121,https://api.tvmaze.com/episodes/2617121,https://api.tvmaze.com/shows/69210
2617122,https://api.tvmaze.com/episodes/2617122,https://api.tvmaze.com/shows/69210
2587407,https://api.tvmaze.com/episodes/2587407,https://api.tvmaze.com/shows/69678
2600413,https://api.tvmaze.com/episodes/2600413,https://api.tvmaze.com/shows/70008
2560656,https://api.tvmaze.com/episodes/2560656,https://api.tvmaze.com/shows/66497
2549226,https://api.tvmaze.com/episodes/2549226,https://api.tvmaze.com/shows/67634
2616667,https://api.tvmaze.com/episodes/2616667,https://api.tvmaze.com/shows/812
2617400,https://api.tvmaze.com/episodes/2617400,https://api.tvmaze.com/shows/42289
2538691,https://api.tvmaze.com/episodes/2538691,https://api.tvmaze.com/shows/48830
2555463,https://api.tvmaze.com/episodes/2555463,https://api.tvmaze.com/shows/48830
2544464,https://api.tvmaze.com/episodes/2544464,https://api.tvmaze.com/shows/2266
2560157,https://api.tvmaze.com/episodes/2560157,https://api.tvmaze.com/shows/33200
2617225,https://api.tvmaze.com/episodes/2617225,https://api.tvmaze.com/shows/55227
2599200,https://api.tvmaze.com/episodes/2599200,https://api.tvmaze.com/shows/69940
2612115,https://api.tvmaze.com/episodes/2612115,https://api.tvmaze.com/shows/922
